id,county,constituency_code,constituency,constituency_name,office_location,landmark,distance_from_landmark,clean_office_location,direction_type,direction_landmark,direction_distance,landmark_type,landmark_subtype,geocode_queries,geocode_query,latitude,longitude,geocode_method,geocode_confidence,accuracy_meters,formatted_address,successful_geocode_query,total_queries_tried,geocode_status,source,verified,notes,result_type,importance_score,geom,created_at,updated_at,verified_latitude,verified_longitude,verified_at,verifier_id,verification_source,contributor_image_url,confidence_score,created_from_contribution_id,image_url,submission_source,submission_method,verified_by,linked_contribution_ids,elevation_meters,isochrone_15min,isochrone_30min,isochrone_45min,landmark_normalized,landmark_source,walking_effort,geocode_verified,geocode_verified_at,multi_source_confidence
144,UASIN GISHU,144,AINABKOI,AINABKOI,"Adjacent To Eldoret East District Hqs, Off",Eldoret East District HQ,0,"Adjacent To Eldoret East District Hqs, Off",adjacent,Eldoret East District HQ,,Building,,"[""AINABKOI IEBC office UASIN GISHU county Kenya"", ""Adjacent To Eldoret East District Hqs, Off, AINABKOI, UASIN GISHU County, Kenya"", ""Adjacent To Eldoret East District Hqs, Off near Eldoret East District HQ, UASIN GISHU County, Kenya""]",AINABKOI IEBC office UASIN GISHU county Kenya,0.5143189,35.2697336,multi_source_crossvalidated,0.82,500,IEBC Offices Kapsoya,AINABKOI IEBC office UASIN GISHU county Kenya,3,resolved,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched AINABKOI to AINABKOI (Score 100).,cross_validated,,0101000020E6100000F1506FA186A24140C7DEE6E84C75E03F,2026-02-26 23:50:25.885367+00,2026-03-15 12:43:03.55939+00,,,,,,,82,,,,,,,,,,,Eldoret East District Hq,PDF,moderate,true,2026-03-13 02:01:04.244361+00,0.82
190,KERICHO,190,AINAMOI,AINAMOI,County Commissioner's Compound Behind Administration Police and,AP & Children Dept. Office,,County Commissioner's Compound Administration and,behind,,,Building,,"[""County Commissioner's Compound Behind Administration Police and opposite AP & Children Dept. Office, AINAMOI, KERICHO, Kenya"", ""AP & Children Dept. Office, AINAMOI, KERICHO, Kenya"", ""IEBC AINAMOI office, KERICHO, Kenya"", ""County Commissioner's Compound Behind Administration Police and, AINAMOI, KERICHO, Kenya"", ""AINAMOI IEBC office, KERICHO County, Kenya"", ""AINAMOI Town, KERICHO, Kenya""]","IEBC AINAMOI office, KERICHO, Kenya",-0.3692314,35.284792,multi_source_consensus,0.453846153846154,500,"Kericho Water and Sewerage Company,20200,Kenya","IEBC AINAMOI office, KERICHO, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched AINAMOI to AINAMOI (Score 100).,single_source,0.453846153846154,0101000020E6100000CB14731074A44140BA00EABC7CA1D7BF,2026-02-26 23:51:47.035439+00,2026-03-14 22:02:04.141187+00,,,,,,,45,,,,,,,,,,,Ap & Children Dept. Office,PDF,moderate,true,2026-03-12 02:36:34.342284+00,0.453846153846154
152,NANDI,152,ALDAI,ALDAI,"St. Pauls Catholic Church, Within Kobujoi Town",St. Paul's Catholic Church,,"St. Pauls Catholic Church, Within Kobujoi",,,,Building,,"[""St. Pauls Catholic Church, Within Kobujoi Town opposite St. Paul's Catholic Church, ALDAI, NANDI, Kenya"", ""St. Paul's Catholic Church, ALDAI, NANDI, Kenya"", ""IEBC ALDAI office, NANDI, Kenya"", ""St. Pauls Catholic Church, Within Kobujoi Town, ALDAI, NANDI, Kenya"", ""ALDAI IEBC office, NANDI County, Kenya"", ""ALDAI Town, NANDI, Kenya""]","IEBC ALDAI office, NANDI, Kenya",0.0619069,34.9780584,provider_refined:locationiq,0.358823529411765,500,"District Officer's Office,Siaya,Nyanza,330-40606,Kenya","IEBC ALDAI office, NANDI, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched ALDAI to ALDAI (Score 100).,single_source,0.358823529411765,0101000020E6100000FFC98404317D4140D221CBDD42B2AF3F,2025-10-25 21:48:51.3217+00,2026-03-14 22:13:10.530249+00,,,2026-01-07 14:22:50.122932+00,,admin_manual,,35,72,,,google_maps,admin_dashboard,,,,,,St. Paul'S Catholic Church,PDF,moderate,false,,0.358823529411765
234,SIAYA,234,ALEGO USONGA,ALEGO USONGA,Siaya Town- Within County,County Commissioner's Office,100,County Commissioner's Office Siaya - Within County,,,,Building,,"[""Siaya Town- Within County opposite County Commissioner's Office, ALEGO USONGA, SIAYA, Kenya"", ""County Commissioner's Office, ALEGO USONGA, SIAYA, Kenya"", ""IEBC ALEGO USONGA office, SIAYA, Kenya"", ""Siaya Town- Within County, ALEGO USONGA, SIAYA, Kenya"", ""ALEGO USONGA IEBC office, SIAYA County, Kenya"", ""ALEGO USONGA Town, SIAYA, Kenya""]",,0.0572662,34.2887836,multi_source_consensus,0.3,500,Siaya County Center,,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched ALEGO USONGA to ALEGO USONGA (Score 100).,,,0101000020E610000082CF6ADCF62441408A1755D0FE51AD3F,2026-02-26 23:52:48.921497+00,2026-03-14 22:38:30.571066+00,,,,,,,,,,,,,,,,,,County Commissioner's Office,PDF,moderate,true,2026-03-12 02:42:39.468691+00,0.78
254,MIGORI,254,AWENDO,AWENDO,Awendo Town,NCPB Awendo,,Awendo,,,,Building,,"[""Awendo Town opposite NCPB Awendo, AWENDO, MIGORI, Kenya"", ""NCPB Awendo, AWENDO, MIGORI, Kenya"", ""IEBC AWENDO office, MIGORI, Kenya"", ""Awendo Town, AWENDO, MIGORI, Kenya"", ""AWENDO IEBC office, MIGORI County, Kenya"", ""AWENDO Town, MIGORI, Kenya""]",,0.098795,34.2894706,tomtom,0.61926660538,500,"Awendo, Nyanza",,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched AWENDO to AWENDO (Score 100).,,,0101000020E6100000A613645F0D2541404221020EA14AB93F,2026-02-26 23:53:26.42076+00,2026-03-14 22:31:39.26201+00,,,,,,,,,,,,,,,,,,Ncpb Awendo,PDF,moderate,false,,
174,NAKURU,174,BAHATI,BAHATI,Do's Compound - Kiamaina / Maili Sita - Bahati,DO's Office,100,DO's Compound - Kiamaina / Maili Sita - Bahati,,,,Building,,"[""Do's Compound - Kiamaina / Maili Sita - Bahati opposite DO's Office, BAHATI, NAKURU, Kenya"", ""DO's Office, BAHATI, NAKURU, Kenya"", ""IEBC BAHATI office, NAKURU, Kenya"", ""Do's Compound - Kiamaina / Maili Sita - Bahati, BAHATI, NAKURU, Kenya"", ""BAHATI IEBC office, NAKURU County, Kenya"", ""BAHATI Town, NAKURU, Kenya""]","DO's Office, BAHATI, NAKURU, Kenya",-0.2318026,36.116852,multi_source_consensus,0.466666666666667,500,"County Assembly of Nakuru,George Morara Road,Kenya","DO's Office, BAHATI, NAKURU, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BAHATI to BAHATI (Score 100).,single_source,0.466666666666667,0101000020E6100000713C9F01F50E4240C15A1025B5ABCDBF,2026-02-27 00:02:25.957021+00,2026-03-14 22:41:27.618592+00,,,,,,,46,,,,,,,,,,,Do'S Office,PDF,moderate,true,2026-03-12 02:34:05.676729+00,0.466666666666667
28,GARISSA,28,BALAMBALA,BALAMBALA,Balambala Town Next To Dc’s Office,DC's Office,,Balambala Dc’s,next to,,,Building,,"[""Balambala Town Next To Dc\u2019s Office opposite DC's Office, BALAMBALA, GARISSA, Kenya"", ""DC's Office, BALAMBALA, GARISSA, Kenya"", ""IEBC BALAMBALA office, GARISSA, Kenya"", ""Balambala Town Next To Dc\u2019s Office, BALAMBALA, GARISSA, Kenya"", ""BALAMBALA IEBC office, GARISSA County, Kenya"", ""BALAMBALA Town, GARISSA, Kenya""]","IEBC BALAMBALA office, GARISSA, Kenya",-0.4530054,39.6462447,multi_source_consensus,0.3625,500,"Kenya Rural Roads Authority (KeRRA),Garissa,Garissa County,Northeast Kenya","IEBC BALAMBALA office, GARISSA, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BALAMBALA to BALAMBALA (Score 100).,single_source,0.3625,0101000020E61000004EDB7525B8D243405A547A5C0AFEDCBF,2026-02-26 23:47:35.601254+00,2026-03-14 22:48:12.194732+00,,,,,,,36,,,,,,,,,,,Dc'S Office,PDF,moderate,true,2026-03-12 02:13:07.808503+00,0.3625
40,MANDERA,40,BANISSA,BANISSA,"Banissa Town, Along Banissa-Rhamu Road",Next to Malkamari Hotel,20,"Banissa , Along Banissa-Rhamu Road",along,,,Building,,"[""Banissa Town, Along Banissa-Rhamu Road opposite Next to Malkamari Hotel, BANISSA, MANDERA, Kenya"", ""Next to Malkamari Hotel, BANISSA, MANDERA, Kenya"", ""IEBC BANISSA office, MANDERA, Kenya"", ""Banissa Town, Along Banissa-Rhamu Road, BANISSA, MANDERA, Kenya"", ""BANISSA IEBC office, MANDERA County, Kenya"", ""BANISSA Town, MANDERA, Kenya""]",,3.9408821,40.3667,enhanced_constituency_center_offset,0.7,500,"Enhanced: Banissa, Mandera",,6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BANISSA to BANISSA (Score 100).,,,0101000020E6100000BBB88D06F02E44406922C731ED860F40,2026-02-27 00:01:44.161462+00,2026-03-14 23:22:30.463874+00,,,,,,,,,,,,,,,,,,Next To Malkamari Hotel,PDF,moderate,false,,
159,BARINGO,159,BARINGO CENTRAL,BARINGO CENTRAL,"County Commissioners Premises,",County Commissioner's Premises,,"County Commissioners Premises,",,,,Building,,"[""County Commissioners Premises, opposite County Commissioner's Premises, BARINGO CENTRAL, BARINGO, Kenya"", ""County Commissioner's Premises, BARINGO CENTRAL, BARINGO, Kenya"", ""IEBC BARINGO CENTRAL office, BARINGO, Kenya"", ""County Commissioners Premises,, BARINGO CENTRAL, BARINGO, Kenya"", ""BARINGO CENTRAL IEBC office, BARINGO County, Kenya"", ""BARINGO CENTRAL Town, BARINGO, Kenya""]","BARINGO CENTRAL, BARINGO, Kenya",0.4912429,35.7450569,cross_validated,0.2064036,500,"Baringo Central, Baringo, 30400, Kenya","BARINGO CENTRAL, BARINGO, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BARINGO CENTRAL to BARINGO CENTRAL (Score 100).,single_source,0.2064036,0101000020E61000005F9445065EDF4140C719790F8670DF3F,2026-02-26 23:50:47.952363+00,2026-03-15 00:21:42.335261+00,,,,,,,20,,,,,,,,,,,County Commissioner'S Premises,PDF,moderate,false,,0.2064036
158,BARINGO,158,BARINGO NORTH,BARINGO NORTH,Behind Posta Building,Posta Building,19000,Posta,behind,,,Building,,"[""Behind Posta Building opposite Posta Building, BARINGO NORTH, BARINGO, Kenya"", ""Posta Building, BARINGO NORTH, BARINGO, Kenya"", ""IEBC BARINGO NORTH office, BARINGO, Kenya"", ""Behind Posta Building, BARINGO NORTH, BARINGO, Kenya"", ""BARINGO NORTH IEBC office, BARINGO County, Kenya"", ""BARINGO NORTH Town, BARINGO, Kenya""]","Behind Posta Building near Posta Building, BARINGO NORTH, BARINGO, Kenya",0.7833,35.75,multi_source_consensus,0.366666666666667,500,"KSMS New Library,Mathare North Road,Nairobi,00620,Kenya","Behind Posta Building near Posta Building, BARINGO NORTH, BARINGO, Kenya",6,no_results,IEBC Master Atomic Sync v5 (Fuzzy),true,GOHAM Atomic Sync. Matched BARINGO NORTH to BARINGO NORTH (Score 100).,single_source,0.366666666666667,0101000020E61000000000000000E041401B9E5E29CB10E93F,2025-11-28 03:35:41.608858+00,2026-03-13 02:19:01.785537+00,,,2026-01-07 14:22:50.122932+00,,admin_manual,,36,81,,,current_location,admin_dashboard,,,,,,Posta Building,PDF,moderate,true,2026-03-12 02:31:50.070872+00,0.366666666666667
