county,constituency_code,constituency_name,office_location,landmark,distance_from_landmark
Changamwe At Changamwe firestation Changamwe firestation,000,meters,,,
Jomvu Mikindani Police Station Mikindani Police Station,000,meters,,,
Likoni Shika Adabu Shika Adabu Chiefs office,010,meters,,,
Kilifi North Next To Huduma Centre Kilifi Kilifi Bridge,550,Metres,,,
Kilifi South Majengo Kanamai Matatu Terminus - Majengo Kanamai,600,Metres,,,
Magarini Near Mwembe Resort Mwembe Resort,300,Metres,,,
Garsen Garsen Town Kcb Bank,100,Metres,,,
Galole Hola Town Kenya Medical Training,050,Metres,,,
Bura Bura Town National Government Offices,000,Metres,,,
Lamu West Ministry of Housing Office Building - Mokowe Public Work Office - Mokowe,100,Metres,,,
Taveta Next to Probation office Taveta Probation Office Taveta,005,Metres,,,
Wajir North Bute Police Station,100,Metres,,,
Wajir East Wajir Huduma Centre,020,Metres,,,
Wajir South Habaswein AP Camp,100,Metres,,,
Mandera West Opposite Takaba Primary Main Gate Takaba Primary School,020,Meters,,,
Mandera South Elwak CBD Along Elwak-Wajir Road Dido Petrol Station,030,Metres,,,
Mandera East Off Suftu Road Behind Blue Light Petrol Station Blue Light Petrol Station,050,Metres,,,
Lafey Lafey Town Next To Lafey Primary School,100,Metres,,,
North Horr Nyota Self Help Group North Horr Adjacent to AP Camp,300,Metres,,,
Igembe Central Kangeta DCC Office,100,Meters,,,
Tigania West Kianjai Town Kianjai National Bank,100,Meters,,,
Tigania East Muriri DCC Compound DCC Office,100,Metres,,,
North Imenti Meru Town Meru Huduma Center,300,Meters,,,
Igembe South Maua Town Maua Police Station,150,Meters,,,
Central Imenti Gatimbi Market Equator Signpost,800,Meters,,,
Manyatta Embu Town-Along Embu-Meru Highway Ack Embu Cathedral Church,025,Metres,,,
Mwingi North Kyuso Town Behind Equity Bank,200,ft,,,
Mwingi West Migwani market - inside DCC Office Complex Baraza Park,030,Metres,,,
Kitui West Matinyani Matinyani DCC Offices,002,KMs,,,
Kitui Rural Kwa Vonza Town Kitui Rural CDF Building,000,Metres,,,
Kitui East Zombe Town Zombe Police Station,010,Metres,,,
Kitui South Ikutha Town Opposite Registry Office,100,Metres,,,
Mbooni Tawa Social Hall Tawa Law Courts,080,Metres,,,
Ndaragwa Ndaragwa Township Next to Central Ward MCA Ndaragwa Police Station,050,to 100 Meters,,,
Kieni Mweiga Town Next To Equity Atm,001,Meter,,,
Nyeri-Town DCC Offices Grounds Huduma Center,050,Meters,,,
Gichugu All Saints Kianyaga ACK Raimu Primary School,050,Metres,,,
Gatundu South DCC Compound Gatundu Level,005,Hospital 100 Meters,,,
Juja Menja Vision Plaza Behind Agakhan Hospital,030,Metres,,,
Ruiru Ruiru Law Courts Ruiru Law Courts,020,Meters,,,
Githunguri DCC Compound DCC Offices,007,Metres,,,
Limuru Directorate Of Public Works-Limuru Limuru Law Courts,200,Metres,,,
Sigor KVDA KVDA Offices,000,Metres,,,
Kacheliba Holy Cross Catholic Church Kacheliba Catholic Church,100,Meters,,,
Pokot South St Marks Development Centre DCC Offices,200,Meters,,,
Samburu North Baragoi Town DCC Office Within the DCC Building -,000,Metres,,,
Samburu East Wambaa Town Wamba Parish Within the Church Compound -,000,Metres,,,
Endebess Endebess Centre DCCs office,150,Metres,,,
Saboti Maendeleo ya wanawake building Old Ambwere Plaza,100,Metres,,,
Laikipia West Telkom Building Nyahururu Town Nyahururu Law Courts,020,Metres Approximate,,,
Narok East Ntulele Ntulele Police Station,050,Metres,,,
Narok South Ololulunga Ololulunga Police Station,010,Metres,,,
Narok West Ngoswani Centre Drilled Water Solar Powerpoint,070,Metres,,,
Kajiado North Ngong DCC Office Ngong DCC Office,000,Meters,,,
Kajiado Central Ack Tenebo House Kajiado Total Petrol Station,050,Meters,,,
Kajiado East Isinya Multi-Purpose Moi Girls High School Isinya,050,Meters,,,
Kipkelion West Posta Kenya Building Kipkelion Kipkellion Post Office,005,Meters From Londian - Kisumu Highway,,,
Chepalungu Sigor AGC Church Junction to Sigor Township,500,Metres,,,
Bomet Central Bomet Town NCPB,000,Metres,,,
Lurambi Post Office Huduma Center,020,Metres,,,
Navakholo Opposite Dowa Filling Station along Dowa Filling Station,030,Meters,,,
Mumias West ACK Guest House ACK Church Complex,050,Metres,,,
Mumias East Moco Buildings-Shianda Shianda Catholic Church,010,Metres,,,
Vihiga Vihiga Educational Resource Centre Vihiga High School,500,Metres,,,
Sabatia DCC Compound Sabatia Eye Hospital,600,Metres,,,
Luanda Luanda Centre Bunyore Girls High School,800,Metres,,,
Emuhaya Esibuye Centre Bunyore Medical Hospital,150,Metres,,,
Sisiria DCC Compound Sirisia DCC Office,050,Metres From DCC Office,,,
Bumula Bumula DCC Ofiice DCC Compound,150,Metres,,,
Webuye West Matisi Market Along Bungoma Webuye High Way -,100,Metres,,,
Kimilili Great Lounch Hotel Building Opposite Kimilili Deb Primary,020,Metres,,,
Funyula Funyula market Moody Awori Primary school,020,Metres,,,
Budalangi Budalangi Market Budalangi Primary School,100,Metres,,,
Ugunja Along Savana - Ambira Hospital Road Savana Hotel,050,Metres,,,
Gem Nyangweso Market Centre - Adjacent Sawagongo High School,200,Metres,,,
Rarieda Kalandini Market Centre - Within Kalandini Market,100,Metres,,,
Bonchari Suneka Market Itierio Boys High School,040,Metres,,,
Kitutu Masaba Manga DCC Compound Manga Cliff,200,Metres,,,
North Mugirango Ekerenyo Market Ekerenyo Bus Stage,100,Metres Off the Ekereyo - Nyamira Road,,,
Borabu DCC Office Compound in Kijauri Town DCC Offfice,020,Metres,,,
Westlands DC Compound Safaricom Centre,200,Metres,,,
Dagoretti South Maisha Poa Centre DCC Office Dagoretti South,200,Metres,,,
Kibra Kibra DC Adjacent To Huduma Centre,000,Metres,,,
Kasarani Former DCC Offices Chiefs Office Nearby,700,Metres,,,
Ruaraka Matigari General Merchants Lexx Place Hotel,450,Metres,,,
Embakasi South Villa Franca Equity Afya Hospital Banner,000,Metres,,,
Embakasi North Near DCC Office DCC Office,100,Meters,,,
Embakasi West Tena White House Foot Bridge Next to Shell Petrol Station,010,Metres,,,
Makadara Makadara DCC Compound CIPU Office Makadara,000,KMs,,,
Kamukunji At DCC Hq Kamukunji DCC Office,000,KMs,,,
Starehe Kenya Railways Block D Opposite Technical University of Kenya,200,Metres,,,
Mathare Mathare DCC Compound DCC Office,000,Metres,,,
