office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
1,9e3d82ad-cca1-40b2-85d3-c029ebc1ed85,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
2,06f463d7-2a8e-447b-b306-0d7f17fc98ec,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
3,e72022c0-7df0-48ac-9c5c-559a24d2b8bd,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
4,7784128b-1d61-4ef7-9c4a-1f809672a797,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
5,349356c7-847c-45ea-b623-803843671887,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
6,c0e68cdf-3b46-49dc-8917-b345d9d304f9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
7,a55dc595-57cf-4d06-9d47-90b97a224e35,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
8,9ebc1a22-d581-4c38-bcf3-458c3ba4ee78,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
9,c5134db6-f6ba-44f3-8d70-d0c6b7ccb09e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
10,164c5bb9-5744-4937-8f2e-efae794e9386,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
11,c2b5ff6b-df05-461d-b7be-126db3341e7d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
12,f847796a-4344-48b2-a585-ad40029d4231,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
13,f7a04dc7-94eb-4902-a668-b1c90064fed7,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
14,aff1997a-75cf-47e9-b5d2-54a252148435,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
15,f537871d-999a-4b41-89ce-dbcd5261c6e0,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
16,ce73ebb8-d29e-47c4-8859-210b6498ba66,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
17,06d0f928-7654-46be-b9af-c9b1333f2969,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
18,42954ea7-f381-431d-9e8c-9b04a09c1709,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
19,26ca9914-09ed-4650-857e-5ecc55c01c92,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
20,cb602286-5974-48f7-b045-d0738526691d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
21,c797951a-3ab9-4290-a9b7-c7cc1cba3042,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
22,8dc96685-3802-4270-9329-725845c9846f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
23,9b0fc0b5-adeb-4214-8975-7a4bb228b425,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
24,317f67fc-122a-4677-8bc1-9dbb66cfce4b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
25,73bf4b9a-c6ca-4ab2-aa1b-038e3ee6bd8c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
26,b54d7602-c40b-4158-85e9-d3b4b0193f7e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
27,d721498a-0880-428b-906d-d966372b6c99,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
28,55af0d24-8e30-4ebe-bbc1-6b7b579c3798,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
29,71385dd3-591f-480a-81ec-26e6464a171b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
30,1dbf3355-f57f-44c6-8549-a65c0f9fc31a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
31,71a9ffb7-c859-4ee0-834d-fec7857e52e8,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
32,e6788356-8ff5-4dc0-af66-58bf59856528,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
33,42cdcab5-94bf-474d-a01a-f4572cc0cffa,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
35,0d645ae7-8cc0-4eb2-874f-24702821a89a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
36,2526c06c-83db-4cb2-a3ae-e378e3e8e0a5,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
37,47de1e4a-8861-4ebb-99ed-ae955c9bdf5e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
